Star Name,xcentroid,ycentroid,source_sum,background_mean,obs_mag
Arcturus,254.19772610251502,189.95417810224342,2795.454510500938,None,-8.616131073807274
Spica,302.0067782895859,96.49846533553992,2366.2754543887604,None,-8.435163246923684
Regulus,446.4230498059981,204.0569593099036,1708.0437958975294,None,-8.081247505567442
Alioth,305.62038797113473,310.3742837921076,1681.338069010464,None,-8.06413761605548
Rasalhague,131.22452731441697,212.94007659885582,1677.3270540975311,None,-8.061544379743154
Alphecca,200.5776488535487,225.25726442577033,1627.8241128159057,None,-8.029018693397456
Dubhe,346.3925115420019,339.04947270480244,1589.241026068661,None,-8.002974419471489
Yed Prior,164.57002723733137,135.04377489037273,1584.2897764684008,None,-7.999586549212109
Kochab,273.7840248040686,366.8748108635814,1530.5336485408993,None,-7.962107204835016
Denebola,371.14314949527886,185.01032204037855,1516.4441563505143,None,-7.952066054692256
Mizar,291.8063427509676,306.15129941016295,1483.185804009237,None,-7.927988900162532
Alkaid,279.0329404260496,288.18707350690624,1459.317475448232,None,-7.910374458034715
Algieba,430.7785550098609,224.45570165751536,1351.1582214723107,None,-7.826765520388012
Pulcherrima,234.98455652448746,218.22426872836152,1342.3314134346228,None,-7.8196493843227035
Merak,355.67002408099756,323.90181677341457,1314.8536643856528,None,-7.797193552622973
Eltanin,178.80840787231787,338.81687414784784,1229.0822611484698,None,-7.7239523767997245
Polaris,297.9211239817743,407.5584911941718,1172.8683215286492,None,-7.673123141022856
Unukalhai,186.09887868664066,160.90162940793746,1142.8800668695246,None,-7.645001645477226
Zosma,392.6056769317607,211.48499452503827,1140.4548944891853,None,-7.642695283519122
Phecda,335.7700896158067,308.43093940204096,1125.6648108131878,None,-7.6285227247665945
Cor Caroli,310.3315997390989,253.41443264937732,1099.3306396231662,None,-7.6028208310758805
Vindemiatrix,314.3409042921698,163.82976578969908,1084.8059714835963,None,-7.588380167928131
Muphrid,270.9153616533264,186.5338034680676,1080.6240158442133,None,-7.584186537733839
Auva,322.42431382302743,140.44255377525076,1076.1145783788465,None,-7.5796462873140005
Tania Australis,398.52676906043484,290.0141661000495,1074.7995130838735,None,-7.5783186525321655
Algorab,349.9385368433078,86.54456250545688,1058.3489140725983,None,-7.56157217131637
Gienah,361.7677194166692,85.92104318056424,1053.9611034354618,None,-7.557061458702109
Porrima,335.35400748356255,127.49570542784066,1027.2113140464432,None,-7.5291494855368235
Seginus,248.69478379566107,254.58068065473688,1025.939658930993,None,-7.527804545789545
Kraz,348.1534564120495,68.1225442919705,1010.657706373355,None,-7.511510229718978
Talitha Borealis,419.0121913172805,331.359784345675,997.0900975218594,None,-7.496836007836994
Pherkab,264.0066370535192,361.698967896711,979.6126072165582,None,-7.477635914205781
Zubeneshamali,209.553961266171,107.62380618729297,964.1646505655867,None,-7.4603780119513505
Minkar,366.1942334843668,72.81377541276925,936.6240427409776,None,-7.428913254359653
Rastaban,187.5839144146825,332.8613364780312,837.3148211897962,None,-7.307221946651975
Kornephoros,162.89387586276501,221.59553654725298,836.7284163025469,None,-7.306461295996705
Megrez,323.02393692004085,316.3912285415769,759.4847676219631,None,-7.201297669973423
Nekkar,232.07652783766306,264.6333904963608,712.809203571519,None,-7.132433246351928
Edasich,242.21972093007275,325.9049013046799,697.6494302484272,None,-7.109093109726726
Adhafera,428.3163858546341,236.97109053444692,691.7746410292134,None,-7.099911594170783
Giauzar,325.76233048438905,356.0423593646756,666.6862054468838,None,-7.059803672836117
Heze,290.3433288083077,126.9896219349959,665.802511231845,None,-7.0583635721705615
Alula Borealis,377.7858004823923,250.13544048290547,652.3208685589275,None,-7.036153180918422
