Star Name,Identity,Magnitude,RA,Dec,Alt,Az,xcentroid,ycentroid,background_mean,obs_mag
Arcturus,Alpha Bodtis,-0.04,213.9153003,19.1824092,57.32121256443195,104.50408885481916,205.75093674234074,186.52038792153405,34.072269285623705,-9.141921948165042
Capella,Alpha Aurigae,0.08,79.1723281,45.9979914,15.360727507827027,315.0222717817872,467.29929221435793,433.4398382204247,27.342272140302846,-7.487990728992948
Procyon,Alpha Canis Minoris,0.38,114.8254978,5.2249875,23.52464051792173,261.1953470865173,549.9348088531187,235.30060362173037,30.08731424218419,-8.488315982673377
Spica,Alpha Virginis,0.98,201.29825,-11.1613833,42.57479490810877,151.49845487137017,261.365227537923,72.07613768961494,35.52773780456124,-8.8376020331279
Pollux,Beta Geminorum,1.14,116.3289578,28.0261989,35.21611703580833,283.8332732009207,502.692131747484,311.0292772186642,33.969814105932294,-8.34912539403421
Regulus,Alpha Leonis,1.35,152.0929625,11.9672089,57.340881608408296,238.99558487596556,434.3867469879518,188.76546184738956,33.24672180270213,-8.490498367739342
Alioth,Epsilon Ursae Majoris,1.77,193.507,55.9597167,64.13431902820338,17.036415663962096,276.6132148377125,324.4161514683153,31.772967317974416,-8.532410679991656
Dubhe,Alpha Ursae Majoris,1.79,165.9319647,61.7510347,58.62953692447192,346.9540840853105,328.9028021015762,354.04772329246936,33.406627069777215,-8.396740248934528
Alkaid,Eta Ursae Majoris,1.86,206.8851572,49.3132667,63.520149271305,40.85365191238056,242.76118026740434,300.92116182572613,32.706462621272166,-8.340648880035483
Alphard,Alpha Hydrae,1.98,141.8968447,-8.6585994,35.382655697642015,228.8844540796027,486.4346178142767,130.62918509159823,30.171498840674914,-7.99870228715589
Castor,Alpha Geminorum,1.98,113.65,31.8883333,34.34827733773274,289.2173315351798,496.75752289576974,328.77409507195813,34.49127850836499,-8.401010136824848
Polaris,Alpha Ursae Minoris,2.02,37.953,89.2641667,31.2117432824414,359.4786947237172,290.63643178410797,441.5974512743628,38.840225371824666,-7.812889573951325
Kochab,Beta Ursae Minoris,2.08,222.6763575,74.1555039,42.713689490159105,14.505220569076478,251.4663573085847,395.02494199535965,34.05613392144074,-8.091343153721734
Denebola,Beta Leonis,2.14,177.265,14.57195,72.55213514742611,189.87317858330886,341.3003913894325,171.71624266144815,35.108010262123315,-8.276202228656688
Eltanin,Gamma Draconis,2.23,269.1515411,51.4888956,25.024984528612638,43.40026452726129,142.37997432605906,373.89602053915274,31.081964827742958,-7.228843644181411
Mizar,Zeta Ursae Majoris,2.27,200.9814292,54.9253611,62.645664102057395,26.200642476801367,259.931453362256,320.90498915401304,32.50652040965434,-8.406677324314169
Merak,Beta Ursae Majoris,2.37,165.4603189,56.3824261,63.33181315715427,341.5723914722651,336.79436258808454,335.7860345932095,33.25115092419587,-7.9835072576560435
Phecda,Gamma Ursae Majoris,2.44,178.4576972,53.6947597,68.06138092264476,357.06606242680704,311.27570093457945,319.1542056074766,32.249045021018595,-7.771412559332086
Zosma,Delta Leonis,2.56,168.5270892,20.5237181,74.56535034013885,225.93787163707748,368.6161268090972,200.7698139214335,35.83316778196742,-7.90416853109434
Gienah,Gamma Corvi,2.59,183.951545,-17.5419306,40.5391713784174,175.4283547901124,333.31762295081967,55.84938524590164,34.29880579827479,-7.4736245441667295
Algieba,Gamma Leonis,2.61,154.993,19.8416667,64.35917963522981,248.36537515665557,415.7543780871127,213.6044005388415,34.48611836238509,-8.369300542585096
Muphrid,Eta Bodtis,2.68,208.6711622,18.3977208,61.16178815055795,110.8563406538229,224.06523407521104,181.05986185725249,34.19064226005752,-7.787361039281462
Pulcherrima,Epsilon Bodtis,2.7,221.24675,27.0741667,54.24573758884651,86.82233203318903,185.40946372239748,222.05425867507887,33.18080356694794,-8.000073166384427
Vindemiatrix,Epsilon Virginis,2.83,195.5441578,10.9591503,64.86042270037703,142.61104129164147,273.5983436853002,150.8726708074534,34.466495748299664,-7.462442816038734
Cor Caroli,Alpha Canem Venaticorum,2.9,194.007,38.3183333,77.04989207790666,55.996233651430856,274.17995689655174,256.9461206896552,33.35744040639439,-7.418869940547155
Algorab,Delta Corvi,2.95,187.4660631,-16.5154314,41.20407410275261,170.865370146515,319.0327868852459,57.80191256830601,35.80556917432547,-7.16127770264598
Tania Australis,Mu Ursae Majoris,3.05,155.5822489,41.4995192,68.02144516979509,303.16417070270523,382.70970394736844,291.7861842105263,33.831080837297044,-7.71233393734179
Talitha Borealis,Iota Ursae Majoris,3.14,134.80189,48.0418261,52.18988813614164,308.92412636762833,415.26005361930294,339.61528150134046,34.93351572711519,-7.181847068681671
Edasich,Iota Draconis,3.29,231.2323942,58.966065,46.69415167280295,35.70000419624621,207.12994350282486,350.12994350282486,32.68235226288486,-6.812736302703673
Megrez,Delta Ursae Majoris,3.31,183.8565028,57.0326156,64.64511681497748,4.511012959047483,297.4664268585132,329.6810551558753,32.292275410107784,-7.302915126594347
Muscida,Omicron Ursae Majoris,3.36,127.5661278,60.71817,45.33440854026723,326.3740134225115,389.98237179487177,384.98397435897436,36.40115445027535,-6.9879614742060605
Auva,Delta Virginis,3.38,193.9008692,3.3974703,58.859852824564605,153.0256849765478,282.7230046948357,122.91549295774648,35.248539921675786,-7.32609898691675
Adhafera,Zeta Leonis,3.44,154.1725667,23.4173117,65.44576540145147,256.6032471154079,413.83196721311475,227.69672131147541,34.66301149038206,-7.16127770264598
Tania Borealis,Lambda Ursae Majoris,3.45,154.2740953,42.9143558,66.64449210674861,305.8177853566656,383.6466480446927,298.11871508379886,33.62971452177433,-7.137282555769638
Alula Borealis,Nu Ursae Majoris,3.48,169.6197361,33.0943086,80.88976518389784,281.03662815558397,352.7312661498708,247.16149870801033,33.98872803551813,-7.221852401707231
Porrima,Gamma Virginis,3.65,190.4165958,-1.4495139,55.40107722133799,162.00506525350778,298.9324534161491,106.6024844720497,36.2777256565763,-7.7747896575594835
