id,xcentroid,ycentroid,source_sum,background_mean,obs_mag
Arcturus,205.75093674234074,186.52038792153405,4537,34.072269285623705,-9.141921948165042
Spica,261.365227537923,72.07613768961494,3428,35.52773780456124,-8.8376020331279
Alioth,276.6132148377125,324.4161514683153,2588,31.772967317974416,-8.532410679991656
Regulus,434.3867469879518,188.76546184738956,2490,33.24672180270213,-8.490498367739342
Procyon,549.9348088531187,235.30060362173037,2485,30.08731424218419,-8.488315982673377
Mizar,259.931453362256,320.90498915401304,2305,32.50652040965434,-8.406677324314169
Castor,496.75752289576974,328.77409507195813,2293,34.49127850836499,-8.401010136824848
Dubhe,328.9028021015762,354.04772329246936,2284,33.406627069777215,-8.396740248934528
Algieba,415.7543780871127,213.6044005388415,2227,34.48611836238509,-8.369300542585096
Pollux,502.692131747484,311.0292772186642,2186,33.969814105932294,-8.34912539403421
Alkaid,242.76118026740434,300.92116182572613,2169,32.706462621272166,-8.340648880035483
Denebola,341.3003913894325,171.71624266144815,2044,35.108010262123315,-8.276202228656688
Kochab,251.4663573085847,395.02494199535965,1724,34.05613392144074,-8.091343153721734
Pulcherrima,185.40946372239748,222.05425867507887,1585,33.18080356694794,-8.000073166384427
Alphard,486.4346178142767,130.62918509159823,1583,30.171498840674914,-7.99870228715589
Merak,336.79436258808454,335.7860345932095,1561,33.25115092419587,-7.9835072576560435
Zosma,368.6161268090972,200.7698139214335,1451,35.83316778196742,-7.90416853109434
Polaris,290.63643178410797,441.5974512743628,1334,38.840225371824666,-7.812889573951325
Muphrid,224.06523407521104,181.05986185725249,1303,34.19064226005752,-7.787361039281462
Porrima,298.9324534161491,106.6024844720497,1288,36.2777256565763,-7.7747896575594835
Phecda,311.27570093457945,319.1542056074766,1284,32.249045021018595,-7.771412559332086
Tania Australis,382.70970394736844,291.7861842105263,1216,33.831080837297044,-7.71233393734179
Capella,467.29929221435793,433.4398382204247,989,27.342272140302846,-7.487990728992948
Gienah,333.31762295081967,55.84938524590164,976,34.29880579827479,-7.4736245441667295
Vindemiatrix,273.5983436853002,150.8726708074534,966,34.466495748299664,-7.462442816038734
Seginus,204.4851380042463,263.97133757961785,942,31.855270484812973,-7.435127256982193
Cor Caroli,274.17995689655174,256.9461206896552,928,33.35744040639439,-7.418869940547155
Pherkab,239.27625570776254,390.57762557077626,876,34.333481870278106,-7.356260265420201
Auva,282.7230046948357,122.91549295774648,852,35.248539921675786,-7.32609898691675
Megrez,297.4664268585132,329.6810551558753,834,32.292275410107784,-7.302915126594347
Eltanin,142.37997432605906,373.89602053915274,779,31.081964827742958,-7.228843644181411
Alula Borealis,352.7312661498708,247.16149870801033,774,33.98872803551813,-7.221852401707231
Talitha Borealis,415.26005361930294,339.61528150134046,746,34.93351572711519,-7.181847068681671
Adhafera,413.83196721311475,227.69672131147541,732,34.66301149038206,-7.16127770264598
Algorab,319.0327868852459,57.80191256830601,732,35.80556917432547,-7.16127770264598
Tania Borealis,383.6466480446927,298.11871508379886,716,33.62971452177433,-7.137282555769638
Muscida,389.98237179487177,384.98397435897436,624,36.40115445027535,-6.9879614742060605
Edasich,207.12994350282486,350.12994350282486,531,32.68235226288486,-6.812736302703673
